gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.802,0.094,3.322,3.416,10,0
1.645,0.093,3.336,3.429,16,0
1.749,0.091,3.347,3.438,16,0
1.724,0.092,3.341,3.434,10,0
1.76,0.093,3.337,3.431,16,0
1.765,0.093,3.34,3.432,15,0
1.711,0.092,3.343,3.435,10,0
1.688,0.091,3.352,3.443,14,0
1.747,0.091,3.353,3.444,11,0
1.758,0.09,3.355,3.445,18,0
1.777,0.092,3.339,3.431,12,0
1.787,0.092,3.337,3.429,15,0
1.735,0.093,3.328,3.421,23,0
1.755,0.092,3.34,3.432,23,0
1.742,0.092,3.338,3.43,15,0
1.7,0.093,3.334,3.426,19,0
1.758,0.091,3.345,3.437,20,0
1.755,0.091,3.352,3.443,23,0
1.742,0.092,3.353,3.444,18,0
1.757,0.092,3.358,3.45,12,0
1.768,0.091,3.358,3.449,16,0
1.703,0.091,3.372,3.462,16,0
1.733,0.09,3.385,3.474,8,0
1.742,0.09,3.384,3.475,18,0
1.693,0.091,3.376,3.467,16,0
1.736,0.092,3.374,3.467,16,0
1.792,0.092,3.373,3.466,16,0
1.794,0.092,3.373,3.466,17,0
1.745,0.091,3.37,3.461,18,0
1.754,0.091,3.377,3.468,20,0
1.743,0.092,3.373,3.465,11,0
1.733,0.092,3.375,3.467,18,0
1.747,0.093,3.378,3.471,19,0
1.708,0.093,3.373,3.466,15,0
1.768,0.093,3.378,3.471,10,0
1.729,0.093,3.379,3.473,8,0
1.781,0.093,3.387,3.479,13,0
1.705,0.091,3.403,3.494,12,0
1.756,0.089,3.415,3.505,16,0
1.77,0.09,3.418,3.508,16,0
1.818,0.09,3.42,3.51,14,0
1.78,0.089,3.419,3.508,14,0
1.77,0.088,3.427,3.515,19,0
1.806,0.088,3.424,3.512,15,0
1.743,0.087,3.431,3.519,14,0
1.748,0.088,3.428,3.515,15,0
1.78,0.088,3.423,3.511,16,0
1.781,0.088,3.428,3.515,11,0
1.761,0.088,3.426,3.513,16,0
1.765,0.087,3.439,3.526,16,0
1.727,0.087,3.433,3.521,15,0
1.778,0.085,3.446,3.531,18,0
1.7,0.085,3.447,3.533,12,0
1.732,0.086,3.44,3.526,16,0
1.731,0.088,3.42,3.508,19,0
1.742,0.089,3.417,3.506,21,0
1.727,0.09,3.408,3.498,15,0
1.793,0.09,3.405,3.495,20,0
1.79,0.09,3.411,3.501,13,0
1.769,0.09,3.417,3.507,15,0
1.744,0.091,3.413,3.504,22,0
1.686,0.09,3.42,3.509,10,0
1.735,0.089,3.413,3.503,11,0
1.758,0.089,3.418,3.507,13,0
1.761,0.09,3.411,3.501,16,0
1.773,0.09,3.413,3.503,7,0
1.788,0.09,3.419,3.509,12,0
1.727,0.091,3.414,3.505,18,0
1.727,0.092,3.406,3.497,14,0
1.756,0.091,3.419,3.51,16,0
1.763,0.091,3.406,3.498,16,0
1.696,0.093,3.395,3.488,20,0
1.712,0.094,3.386,3.479,18,0
1.647,0.094,3.382,3.476,19,0
1.709,0.093,3.391,3.484,9,0
1.798,0.093,3.389,3.482,12,0
1.805,0.092,3.396,3.488,10,0
